province,specialism,AS1_norm
Drenthe,Cardiology,0.20001554122309426
Drenthe,Cardiothoracic Surgery,0
Drenthe,Dermatology & Allergology,0.6404174573055029
Drenthe,ENT,0.8177406997531285
Drenthe,Gastroenterology & Hepatology,0.8965415311853384
Drenthe,General & Trauma Surgery,0.5412348562253686
Drenthe,Geriatrics & Elderly Care,0.7621797185131722
Drenthe,Gynecology & Obstetrics,0.7650351953237559
Drenthe,Internal Medicine,0.6105369492579066
Drenthe,Neurology & Neurosurgery,0.865783688133412
Drenthe,Ophthalmology,0.786836935166994
Drenthe,Orthopedics,0.47858823529411765
Drenthe,Pain Management & Anaesthesiology,0.7231734192235972
Drenthe,Pediatrics,0.6940750983937879
Drenthe,Plastic & Reconstructive Surgery,0.6822182675195998
Drenthe,Psychiatry & Mental Health,0
Drenthe,Pulmonology,0.7565740838525716
Drenthe,Radiology & Interventional Radiology,0.36790376998679775
Drenthe,Rehabilitation Medicine,0.647166955017301
Drenthe,Rheumatology,0.45618247298919573
Drenthe,Urology,0.7697678477919357
Flevoland,Cardiology,0.20233547964640403
Flevoland,Dermatology & Allergology,0.21917338363916994
Flevoland,ENT,0.38777268810376886
Flevoland,Gastroenterology & Hepatology,0.2223633319863765
Flevoland,General & Trauma Surgery,0.18107416879795396
Flevoland,Geriatrics & Elderly Care,0.9920508744038156
Flevoland,Gynecology & Obstetrics,0.4498925415903845
Flevoland,Internal Medicine,0.2060154378493479
Flevoland,Neurology & Neurosurgery,0.6320918900104421
Flevoland,Ophthalmology,0.5391827872088433
Flevoland,Orthopedics,0.073334859235523
Flevoland,Pain Management & Anaesthesiology,0.40522875816993464
Flevoland,Pediatrics,0.4021887824897401
Flevoland,Plastic & Reconstructive Surgery,0.09077809798270894
Flevoland,Pulmonology,0.5160331280526651
Flevoland,Radiology & Interventional Radiology,0.39775419800144224
Flevoland,Rehabilitation Medicine,0.3760307861462342
Flevoland,Rheumatology,0.405665253799235
Flevoland,Urology,0.5824612053410321
Fryslân,Cardiology,0.4009268256222438
Fryslân,Cardiothoracic Surgery,0.342560553633218
Fryslân,Dermatology & Allergology,0.5492227979274611
Fryslân,ENT,0.7522281639928698
Fryslân,Gastroenterology & Hepatology,0.5463160590796551
Fryslân,General & Trauma Surgery,0.5351193942923704
Fryslân,Geriatrics & Elderly Care,0.7879616963064295
Fryslân,Gynecology & Obstetrics,0.4870848708487085
Fryslân,Internal Medicine,0.3461355842785545
Fryslân,Neurology & Neurosurgery,0.8262387328713593
Fryslân,Ophthalmology,0.9337005705292151
Fryslân,Orthopedics,0.554727829124293
Fryslân,Pain Management & Anaesthesiology,0.4857685009487666
Fryslân,Pediatrics,0.6576207479797032
Fryslân,Plastic & Reconstructive Surgery,0.606860780384298
Fryslân,Psychiatry & Mental Health,1
Fryslân,Pulmonology,0.5086342229199372
