sensitivity_test,spearman_rho,n_top4_changed,max_rank_shift
5.3b Aggregation: geometric mean,0.6371,1,1
5.1c Normalization: percentile rank,0.7975,2,6
5.1b Normalization: z-score,0.8837,1,3
5.4 LOO: drop SP2,0.9035,3,8
5.4 LOO: drop DP1,0.9312,0,1
"5.2b Demand-heavy (0.5,0.25,0.25)",0.943,0,0
"5.2d Access-heavy (0.25,0.25,0.5)",0.9583,0,4
"5.2c Supply-heavy (0.25,0.5,0.25)",0.9585,1,3
5.4 LOO: drop AS2,0.9673,1,2
5.4 LOO: drop AS3,0.9691,0,2
5.2e Weighting: PCA-derived,0.9692,0,1
5.4 LOO: drop AS1,0.9712,0,0
5.4 LOO: drop SP1,0.9721,0,0
5.4 LOO: drop SP3,0.9721,0,0
5.5 M-matrix: zkh +10pp,0.9811,0,1
5.5 M-matrix: zkh -10pp,0.9836,0,1
5.4 LOO: drop DP2,0.9884,0,0
5.4 LOO: drop DP3,0.9884,0,0
5.6 φ stress: ×0.85,0.9991,0,0
5.6 φ stress: ×1.15,0.9992,0,1
